Recensement agricole 2020; ; ; ; ; ; ; 
Référentiel géographique : France  par Commune 2020; ; ; ; ; ; ; 
Code;Libellé;Nombre d’exploitations avec des vaches laitières, 2020;Nombre d’exploitations avec des vaches laitières, 2020 - estimation (*=oui);Nombre moyen de vaches nourrices par exploitation, 2020;Nombre moyen de vaches nourrices par exploitation, 2020 - estimation (*=oui);Nombre moyen de vaches laitières par exploitation, 2020;Nombre moyen de vaches laitières par exploitation, 2020 - estimation (*=oui);Nombre de vaches laitières, 2020;Nombre de vaches laitières, 2020 - estimation (*=oui);Nombre de vaches nourrices, 2020;Nombre de vaches nourrices, 2020 - estimation (*=oui);Nombre d’exploitations avec des vaches nourrices, 2020;Nombre d’exploitations avec des vaches nourrices, 2020 - estimation (*=oui)
01081;Champfromier;N/A - secret statistique;;0;;N/A - secret statistique;;N/A - secret statistique;;0;;0;
01082;Chanay;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01083;Chaneins;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01084;Chanoz-Châtenay;N/A - secret statistique;;46;;N/A - secret statistique;;N/A - secret statistique;;182;;4;
01085;La Chapelle-du-Châtelard;N/A - secret statistique;;36;;N/A - secret statistique;;N/A - secret statistique;;249;;7;
01087;Charix;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01088;Charnoz-sur-Ain;0;;0;;0;;0;;0;;0;
01089;Château-Gaillard;0;;N/A - secret statistique;;0;;0;;N/A - secret statistique;;N/A - secret statistique;
01090;Châtenay;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01092;Châtillon-la-Palud;0;;0;;0;;0;;0;;0;
01093;Châtillon-sur-Chalaronne;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01094;Chavannes-sur-Reyssouze;5;;64;;56;;281;;322;;5;
01095;Nivigne et Suran;3;;N/A - secret statistique;;75;;226;;N/A - secret statistique;;N/A - secret statistique;
01096;Chaveyriat;6;;37;;69;;413;;329;;9;
01098;Chazey-Bons;0;;N/A - secret statistique;;0;;0;;N/A - secret statistique;;N/A - secret statistique;
01099;Chazey-sur-Ain;0;;0;;0;;0;;0;;0;
01100;Cheignieu-la-Balme;0;;0;;0;;0;;0;;0;
01101;Chevillard;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01102;Chevroux;3;;56;;109;;326;;278;;5;
01103;Chevry;N/A - secret statistique;;0;;N/A - secret statistique;;N/A - secret statistique;;0;;0;
01104;Chézery-Forens;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01105;Civrieux;0;;N/A - secret statistique;;0;;0;;N/A - secret statistique;;N/A - secret statistique;
01106;Cize;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01107;Cleyzieu;0;;0;;0;;0;;0;;0;
01108;Coligny;3;;N/A - secret statistique;;66;;198;;N/A - secret statistique;;N/A - secret statistique;
01109;Collonges;3;;N/A - secret statistique;;86;;259;;N/A - secret statistique;;N/A - secret statistique;
01110;Colomieu;N/A - secret statistique;;0;;N/A - secret statistique;;N/A - secret statistique;;0;;0;
01111;Conand;0;;0;;0;;0;;0;;0;
01112;Condamine;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
